customer_id,age,gender,region,plan_type,tenure_months,data_used_gb,call_minutes,calls_made,sms_count,revenue_inr,complaints_6m,network_issues,customer_service_calls,payment_delay,roaming_usage,international_calls,device_age_months,satisfaction_score,contract_type,auto_payment,churn
1001,56,Male,Kolkata,Prepaid,26,48.94,617,15,330,900.3,3,1,5,5,95,18,1,6,Two-Year,1,0
1002,69,Female,Chennai,Postpaid,59,55.45,302,45,10,373.67,1,2,6,5,57,14,48,1,Monthly,1,0
1003,46,Male,Delhi,Postpaid,33,49.69,155,118,291,694.66,6,4,9,1,2,44,16,4,Two-Year,0,0
1004,32,Male,Mumbai,Postpaid,41,56.98,413,96,147,351.14,6,4,9,1,29,6,43,6,Monthly,0,1
1005,60,Female,Mumbai,Postpaid,30,71.84,823,79,318,786.48,6,2,7,3,18,42,24,2,Two-Year,0,0
1006,25,Male,Mumbai,Postpaid,57,11.85,11,71,79,208.47,7,4,2,3,9,39,36,8,Annual,1,1
1007,38,Male,Kolkata,Prepaid,49,75.21,128,9,190,786.49,3,2,3,0,88,15,11,4,Two-Year,1,0
1008,56,Female,Chennai,Postpaid,48,14.45,864,120,452,495.76,3,1,9,0,45,23,26,2,Two-Year,1,0
1009,36,Male,Mumbai,Postpaid,72,7.6,615,122,343,869.99,0,4,3,5,18,22,6,1,Annual,1,1
1010,40,Female,Mumbai,Postpaid,49,97.63,200,15,29,765.04,6,1,1,2,57,10,26,8,Two-Year,0,0
1011,28,Female,Delhi,Prepaid,47,95.74,12,48,413,438.87,0,3,6,0,84,23,29,10,Two-Year,0,0
1012,28,Female,Delhi,Postpaid,56,6.98,951,81,358,913.19,3,3,3,5,5,4,43,1,Two-Year,1,0
1013,41,Female,Chennai,Postpaid,65,44.88,496,122,367,355.0,4,3,3,3,50,38,58,7,Annual,1,0
1014,53,Female,Chennai,Postpaid,12,19.44,632,120,494,970.29,4,3,7,3,13,47,1,7,Two-Year,1,0
1015,57,Male,Bangalore,Prepaid,69,49.05,186,71,228,790.48,5,4,5,0,57,29,9,6,Monthly,0,0
1016,41,Male,Delhi,Prepaid,6,83.19,266,17,480,991.61,3,2,5,2,7,15,27,8,Monthly,1,0
1017,20,Female,Bangalore,Postpaid,65,95.11,882,96,83,148.51,6,4,8,5,1,19,7,10,Monthly,1,0
1018,39,Female,Kolkata,Prepaid,25,63.79,543,15,149,346.63,7,5,3,3,17,28,53,1,Monthly,1,0
1019,19,Male,Bangalore,Postpaid,1,36.04,486,143,360,767.14,4,4,8,5,85,16,54,1,Annual,1,1
1020,41,Female,Mumbai,Prepaid,32,60.73,407,89,188,930.02,7,1,0,2,56,18,3,1,Two-Year,1,0
1021,61,Female,Bangalore,Postpaid,3,31.89,505,89,20,125.89,7,2,8,3,93,25,9,6,Monthly,0,0
1022,47,Female,Chennai,Prepaid,49,91.07,229,139,36,100.01,5,0,0,5,99,14,2,7,Two-Year,1,1
1023,55,Male,Kolkata,Postpaid,19,87.17,990,21,245,330.62,5,0,6,2,91,24,10,10,Two-Year,1,0
1024,19,Male,Mumbai,Postpaid,60,56.26,182,52,282,867.5,3,2,5,2,34,14,17,9,Annual,0,1
1025,38,Female,Bangalore,Prepaid,29,33.16,745,146,101,790.44,5,0,6,2,65,19,31,10,Two-Year,1,0
1026,50,Female,Kolkata,Postpaid,50,30.05,399,101,418,406.25,0,2,8,0,55,29,1,5,Monthly,1,0
1027,29,Male,Kolkata,Postpaid,2,4.31,511,79,293,101.81,0,1,9,1,99,20,58,1,Monthly,1,0
1028,39,Male,Mumbai,Postpaid,56,81.77,586,141,231,599.24,0,1,3,5,81,46,18,9,Annual,0,0
1029,61,Female,Bangalore,Postpaid,17,45.59,798,81,315,314.16,1,4,8,2,42,34,6,5,Monthly,1,0
1030,42,Female,Kolkata,Prepaid,60,33.19,770,132,325,771.05,7,0,2,5,72,43,38,6,Monthly,0,1
1031,66,Male,Kolkata,Postpaid,36,47.64,269,41,287,501.71,0,2,9,2,91,5,41,9,Annual,0,0
1032,44,Male,Delhi,Prepaid,61,82.06,140,34,335,710.74,6,1,8,5,71,36,42,2,Annual,1,0
1033,59,Male,Kolkata,Prepaid,17,13.34,122,51,475,867.08,0,4,0,3,7,10,47,3,Monthly,0,0
1034,45,Female,Delhi,Prepaid,49,85.91,807,139,463,582.18,3,0,4,5,4,22,4,7,Annual,1,0
1035,33,Male,Bangalore,Prepaid,60,89.85,808,146,410,402.36,4,0,9,1,12,43,40,3,Annual,0,0
1036,32,Female,Bangalore,Postpaid,20,94.72,939,52,244,792.59,6,0,4,3,6,38,4,2,Monthly,0,0
1037,64,Male,Bangalore,Postpaid,50,40.35,732,138,386,338.67,4,1,0,3,20,8,35,7,Monthly,0,0
1038,68,Male,Chennai,Prepaid,3,22.5,29,38,176,902.37,0,1,0,2,92,17,4,8,Annual,1,0
1039,61,Male,Bangalore,Postpaid,43,37.99,224,105,212,164.28,7,0,2,4,36,45,1,9,Two-Year,1,0
1040,69,Male,Kolkata,Prepaid,57,33.96,319,50,357,851.92,0,1,8,1,44,35,41,2,Two-Year,0,0
1041,20,Female,Mumbai,Postpaid,50,18.44,260,74,101,182.4,0,0,6,3,51,39,43,2,Monthly,1,1
1042,54,Female,Delhi,Postpaid,68,61.12,497,140,285,150.52,5,3,5,4,47,47,31,7,Monthly,0,0
